ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p31,1,52,3,19,269.5073,270.3201,Main,Skipped,269.8626,270.2423,Left,29,5,1.5,0.9333649,0.8739,posture_decision_experiment/p31/S001/movement_head_T052.csv,posture_decision_experiment/p31/S001/movement_right_hand_T052.csv,posture_decision_experiment/p31/S001/movement_left_hand_T052.csv
p31,1,53,3,20,273.6519,274.4758,Main,Hit,274.0187,274.3536,Right,34,5,1,0.4666824,1.3141,posture_decision_experiment/p31/S001/movement_head_T053.csv,posture_decision_experiment/p31/S001/movement_right_hand_T053.csv,posture_decision_experiment/p31/S001/movement_left_hand_T053.csv
p31,1,54,3,21,277.6631,278.4204,Main,Hit,278.0519,278.2982,Left,39,5,1,0.4666824,1.1709,posture_decision_experiment/p31/S001/movement_head_T054.csv,posture_decision_experiment/p31/S001/movement_right_hand_T054.csv,posture_decision_experiment/p31/S001/movement_left_hand_T054.csv
p31,1,55,3,22,281.6519,282.4205,Main,Skipped,281.9967,282.365,Right,40,5,1.3,0.6222382,1.2107,posture_decision_experiment/p31/S001/movement_head_T055.csv,posture_decision_experiment/p31/S001/movement_right_hand_T055.csv,posture_decision_experiment/p31/S001/movement_left_hand_T055.csv
p31,1,56,3,23,285.3857,286.2206,Main,Skipped,285.7638,286.1429,Left,41,5,1.3,0.6222382,0.9513,posture_decision_experiment/p31/S001/movement_head_T056.csv,posture_decision_experiment/p31/S001/movement_right_hand_T056.csv,posture_decision_experiment/p31/S001/movement_left_hand_T056.csv
p31,1,57,3,24,289.1637,289.9763,Main,Miss,289.5078,289.9208,Left,41,5,1,0.4666824,0.9281,posture_decision_experiment/p31/S001/movement_head_T057.csv,posture_decision_experiment/p31/S001/movement_right_hand_T057.csv,posture_decision_experiment/p31/S001/movement_left_hand_T057.csv
p31,1,58,3,25,293.0859,293.8765,Main,Skipped,293.4196,293.732,Right,42,5,1.5,0.9333649,1.0914,posture_decision_experiment/p31/S001/movement_head_T058.csv,posture_decision_experiment/p31/S001/movement_right_hand_T058.csv,posture_decision_experiment/p31/S001/movement_left_hand_T058.csv
p31,1,59,3,26,297.1195,298.021,Main,Hit,297.5856,297.8988,Left,47,5,1,0.4666824,1.2209,posture_decision_experiment/p31/S001/movement_head_T059.csv,posture_decision_experiment/p31/S001/movement_right_hand_T059.csv,posture_decision_experiment/p31/S001/movement_left_hand_T059.csv
p31,1,60,3,27,301.1751,302.0545,Main,Skipped,301.6192,301.9767,Right,48,5,1.3,0.6222382,1.1427,posture_decision_experiment/p31/S001/movement_head_T060.csv,posture_decision_experiment/p31/S001/movement_right_hand_T060.csv,posture_decision_experiment/p31/S001/movement_left_hand_T060.csv
p31,1,61,3,28,305.3859,306.1657,Main,Skipped,305.8081,306.0991,Left,49,5,1.5,0.9333649,1.3152,posture_decision_experiment/p31/S001/movement_head_T061.csv,posture_decision_experiment/p31/S001/movement_right_hand_T061.csv,posture_decision_experiment/p31/S001/movement_left_hand_T061.csv
p31,1,62,3,29,309.1531,309.9548,Main,Skipped,309.4866,309.8881,Right,50,5,1.5,0.9333649,0.9716,posture_decision_experiment/p31/S001/movement_head_T062.csv,posture_decision_experiment/p31/S001/movement_right_hand_T062.csv,posture_decision_experiment/p31/S001/movement_left_hand_T062.csv
p31,1,63,3,30,312.7307,313.5438,Main,Skipped,313.0976,313.4771,Right,51,5,1.5,0.9333649,0.7627,posture_decision_experiment/p31/S001/movement_head_T063.csv,posture_decision_experiment/p31/S001/movement_right_hand_T063.csv,posture_decision_experiment/p31/S001/movement_left_hand_T063.csv
p31,1,64,3,31,316.9531,317.7884,Main,Hit,317.2976,317.5995,Right,56,5,1.3,0.6222382,1.3924,posture_decision_experiment/p31/S001/movement_head_T064.csv,posture_decision_experiment/p31/S001/movement_right_hand_T064.csv,posture_decision_experiment/p31/S001/movement_left_hand_T064.csv
p31,1,65,3,32,320.7755,321.7552,Main,Skipped,321.2313,321.6329,Right,57,5,1.3,0.6222382,0.9655,posture_decision_experiment/p31/S001/movement_head_T065.csv,posture_decision_experiment/p31/S001/movement_right_hand_T065.csv,posture_decision_experiment/p31/S001/movement_left_hand_T065.csv
